v2ProductName,sessions,viewers,product_view_rate,product_desirability
Google Men's Lightweight Microfleece Jacket Black,41870,1203,2.87,low desirability
Google 17 oz Double Wall Stainless Steel Insulated Bottle,12052,342,2.84,low desirability
PowerClip Lightning Charger,3775,107,2.83,low desirability
Aria Bluetooth Speaker,6826,192,2.81,low desirability
Digital Lightshow Smart Speaker and Notification Center,24742,691,2.79,low desirability
Google Onesie Red,7261,202,2.78,low desirability
Google G Noise-reducing Bluetooth Headphones,65657,1822,2.78,low desirability
Google Men's Performance Badge Tee Black,650,18,2.77,low desirability
Google Men's 100% Cotton Short Sleeve Hero Tee Black,111987,3103,2.77,low desirability
Google Men's Zip Hoodie,1524,42,2.76,low desirability
Clip-on Compact Charger,31821,862,2.71,low desirability
Waterproof Gear Bag,24313,651,2.68,low desirability
Google Slim Utility Travel Bag,47548,1256,2.64,low desirability
Google Water Resistant Bluetooth Speaker,60070,1576,2.62,low desirability
Google Women's Performance Full Zip Jacket Black,23320,606,2.6,low desirability
Google Men's Pullover Hoodie,21291,550,2.58,low desirability
Google Leather Perforated Journal,2791,72,2.58,low desirability
25 oz. Infusion Water Bottle,1590,41,2.58,low desirability
Google Youth Girl Tee Green,7022,180,2.56,low desirability
Google 25 oz Blue Stainless Steel Bottle,3906,100,2.56,low desirability
Google 17oz Stainless Steel Sport Bottle,69648,1783,2.56,low desirability
Recycled Mouse Pad,70626,1797,2.54,low desirability
Chevron Shopper,3586,91,2.54,low desirability
YouTube Leatherette Notebook Combo,106310,2685,2.53,low desirability
Google Women's Vintage Hero Tee White,18815,476,2.53,low desirability
Google Men's Weatherblock Shell Jacket Black,36798,931,2.53,low desirability
Google Women's Short Sleeve Hero Tee White,68714,1727,2.51,low desirability
"Google High Capacity 10,400mAh Charger",45888,1149,2.5,low desirability
UFO Bluetooth Water Resistant Speaker,3780,94,2.49,low desirability
Google Women's Long Sleeve Blended Cardigan Charcoal,3403,84,2.47,low desirability
Google Men's Quilted Insulated Vest Black,43467,1071,2.46,low desirability
Collapsible Shopping Bag,48590,1196,2.46,low desirability
Google Spiral Journal with Pen,4873,119,2.44,low desirability
YouTube Youth Short Sleeve Tee Red,35644,865,2.43,low desirability
Yoga Mat,25945,631,2.43,low desirability
Google Toddler Short Sleeve T-shirt Royal Blue,10140,246,2.43,low desirability
Google Men's Vintage Badge Tee Black,85767,2085,2.43,low desirability
YouTube Notebook Set,1033,25,2.42,low desirability
Google Toddler Raglan Shirt Blue Heather/Navy,15324,371,2.42,low desirability
Google Insulated Stainless Steel Bottle,46858,1132,2.42,low desirability
Crunch Noise Dog Toy,20051,485,2.42,low desirability
Google Women's Vintage Hero Tee Lavender,7972,192,2.41,low desirability
Google Youth Short Sleeve Tee Red,7090,170,2.4,low desirability
Android Journal Book Set,33144,797,2.4,low desirability
Google Collapsible Pet Bowl,22127,525,2.37,low desirability
Android Sticker Sheet Ultra Removable,64537,1516,2.35,low desirability
Sport Bag,61386,1435,2.34,low desirability
Google Men's Long Sleeve Raglan Ocean Blue,59193,1387,2.34,low desirability
Android Youth Short Sleeve T-shirt Pewter,11784,272,2.31,low desirability
Google 2200mAh Micro Charger,21103,486,2.3,low desirability
Waterpoof Gear Bag,7663,172,2.24,low desirability
Seat Pack Organizer,56590,1265,2.24,low desirability
Google Men's Softshell Jacket Black/Grey,11821,264,2.23,low desirability
Google Adult Tee Fruit Games Dragonfruit,3774,84,2.23,low desirability
Google Youth Short Sleeve T-shirt Green,9542,212,2.22,low desirability
Google Women's Quilted Insulated Vest Black,14754,328,2.22,low desirability
Google Men's Pullover Hoodie Grey,58061,1291,2.22,low desirability
YouTube 24 oz Stripe Accent Bottle,913,20,2.19,low desirability
Google Men's 100% Cotton Short Sleeve Hero Tee Navy,112083,2448,2.18,low desirability
Blue Keeper Notebook Set with Flap,4852,106,2.18,low desirability
Google Men's Watershed Full Zip Hoodie Grey,90151,1955,2.17,low desirability
Android Baby Essentials Baby Set,5523,117,2.12,low desirability
Google Women's 3/4 Sleeve Baseball Raglan Heather/Black,31504,665,2.11,low desirability
Google 25 oz Red Stainless Steel Bottle,10680,225,2.11,low desirability
Metal Earbuds with Small Zipper Case,50093,1054,2.1,low desirability
Google Men's Short Sleeve Performance Badge Tee Black,24264,510,2.1,low desirability
Google Toddler Tee Fruit Games Pineapple,3786,79,2.09,low desirability
Gift Card - $250.00,7218,151,2.09,low desirability
Set of 3 Nested Travel Cases,3562,74,2.08,low desirability
Color Changing Grip Pen,16172,337,2.08,low desirability
UpCycled Handlebar Bag,14233,293,2.06,low desirability
Large Zipper Top Tote Bag,32522,663,2.04,low desirability
Google Men's Long Sleeve Raglan Cranberry,248,5,2.02,low desirability
Foam Can and Bottle Cooler,44648,904,2.02,low desirability
Set of 3 Packing Cubes,5978,120,2.01,low desirability
Google Heavyweight Long Sleeve Hero Tee Navy,36857,740,2.01,low desirability
8 pc Android Sticker Sheet,50944,1024,2.01,low desirability
YouTube Twill Cap,128690,2569,2.0,low desirability
Colored Pencil Set,40980,818,2.0,low desirability
Latitudes Foldaway Shopper,3576,71,1.99,low desirability
Android Youth Short Sleeve T-shirt Aqua,11956,237,1.98,low desirability
Android Toddler Short Sleeve T-shirt Pink,12400,245,1.98,low desirability
Google Women's Convertible Vest-Jacket Black,13152,259,1.97,low desirability
Google Stylus Pen w/ LED Light,62724,1233,1.97,low desirability
Google Car Clip Phone Holder,64426,1260,1.96,low desirability
Google Red Spiral Notebook,256,5,1.95,low desirability
Four Color Retractable Pen,36606,714,1.95,low desirability
Google Women's V-Neck Tee Charcoal,9443,183,1.94,low desirability
Google Women's Quilted Insulated Vest White,11186,217,1.94,low desirability
Kick Ball,3725,71,1.91,low desirability
Android Toddler Short Sleeve T-shirt Pewter,11876,227,1.91,low desirability
Android BTTF Moonshot Shirt,7267,139,1.91,low desirability
Google Women's Recycled Fabric Tee,5828,110,1.89,low desirability
Google Wool Heather Cap Heather/Navy,38069,717,1.88,low desirability
24 oz USA Made Aluminum Bottle,23264,435,1.87,low desirability
Insulated Bottle,33265,619,1.86,low desirability
Google PowerKit,17771,331,1.86,low desirability
PaperMate Ink Joy RT Pen,3882,72,1.85,low desirability
Softsided Travel Pouch Set,47176,868,1.84,low desirability
Red Spiral Google Notebook,45128,829,1.84,low desirability
Google Flashlight,49448,908,1.84,low desirability
Google Men's Performance Hero Tee Gunmetal,10881,198,1.82,low desirability
Electronics Accessory Pouch,95404,1734,1.82,low desirability
